subject_id,adultx,qbor,childx,imp_female,imp_pdisyes,imp_pothyes,imp_pregyes,imp_pretyes,imp_psnapyes,imp_puiyes,imp_pwelfyes,imp_race,opmpov,opmthresh,qa4_age1_tc,qa4_gender1,qa4_rel1,qa4_age2_tc,qa4_gender2,qa4_rel2,qa4_age3_tc,qa4_gender3,qa4_rel3,qa4_age4_tc,qa4_gender4,qa4_rel4,qa4_age5_tc,qa4_gender5,qa4_rel5,qa4_age6_tc,qa4_gender6,qa4_rel6,qa4_age7_tc,qa4_gender7,qa4_rel7,qa4_age8_tc,qa4_gender8,qa4_rel8,qa4_age9_tc,qa4_gender9,qa4_rel9,qa1,qa8,qa9,qa9a,qa10,qa11,qb1,qb2,qb4,qb6,qc1,qc2,qc3,qc4,qc5_1,qc5_2,qc5_3,qc5_4,qc5_5,qc5_6,qc5_7,qc5_8,qc5_9,qc5_10,qc5_11,qc5_12,qc6,qd1,qd2,qd7,qd3,qd4,qd5,qd6x,qd6,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qg0,qg2,qg2x,qg3,qg5,qg5x,qh1,qh2a,qh2b,qh3,qh4a,qh4b,qh5_1,qh5_2,qh5_3,qh5_4,qh5_5,qh5_6,qh5_7,qh5_8,qh5_9,qh5_10,qh6_1,qh6_2,qh6_3,qh6_4,qh6_5,qh6_6,qh6_7,qh7,qh7a,qh7b,qh9,qh10,qh10f,qh18,qi1,qi2_asian,qi2_black,qi2_hpa,qi2_natam,qi2_oth,qi2_white,qi3,qi5,qi6,qi8,qi9,qi10,qa3_age_tc,qa3_gender,sppart,qweight_p,qweight_pu,spmthresh,spmpov,qh19f,qb5_1,qb5_2,qb5_3,qb5_4,qb5_5,qb5_6,imp_earnhd_tc,imp_earnsp_tc,imp_incret_tc,imp_incdis_tc,imp_incwelf_tc,imp_incui_tc,imp_incsnap_tc,imp_increg_tc,imp_incoth_tc,imp_incothhh_tc,qh6_7x_tc,qh6_6x_tc,qh6_5x_tc,qh6_4x_tc,qh6_3x_tc,qh6_2x_tc,qh6_1x_tc,qh1x_tc,qh3x_tc,qh7x_tc,imp_chwoop_tc,imp_pmoop_tc,qa8x_tc,qa9x_tc,qa10x_tc,qh10x_tc,qh18x_tc,qh19x_tc,spmres_tc,opmres_tc,opmincneeds_tc,spmincneeds_tc,qsurveyyear,qsurveymonth
325,2,3,1,1,2,2,2,2,2,2,2,5,2,18480,32,1,1,8,1,3,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,4,3,1,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,8,1,2,3,3,2,2,2,2,2,2,2,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,5,1,1,2,1,2,2,2,2,1,7,1,1,,,32,2,1,7083,3542,28415.986,2,3,,,,,,,68000,52000,0,0,0,0,0,0,0,0,,,,,,,,68000,52000,0,5842.8193,2000,,,1232,1900,2000,800,65077.398,120000,6.4935064,2.2901685,2013,2
1174,2,2,1,1,2,2,2,2,2,2,2,3,2,18480,42,1,1,5,1,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,98,,1,4,3,2,2,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,1,1,2,6,1,2,3,3,2,2,2,2,2,2,3,2,2,,2,1,12,,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,2,,,1,2,1,2,2,2,2,2,6,8,1,1,,,42,2,1,11608,5804,27512.936,2,2,,,,,,,0,60000,0,0,0,0,0,0,0,0,,,,,,,,,60000,0,1800,1000,1000,1000,,,1000,150,51061,60000,3.2467532,1.8558906,2013,2
158,1,3,1,1,1,2,2,2,1,2,2,5,1,15825,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,98,,,3,2,2,,2,,2,,2,2,2,2,1,2,2,2,2,2,2,2,5,2,2,2,2,1,3,8,1,1,2,2,2,2,2,2,1,2,2,2,1,11,,,,1,,,,,,2,1,2,2,1,1,2,1,2,2,,1,,,1,,,1,,,2,,,1,1,98,98,98,98,98,98,1,3,1,1,,2,24,2,2,1324,1324,21860.984,1,2,2,2,2,2,2,2,1700,0,0,500,0,0,3600,0,0,0,,,4404,,,500,,1700,,0,1248,40,500,500,,,40,104,13651.387,2200,.13902053,.6244635,2013,2
1648,2,4,2,0,2,2,2,2,2,2,2,1,2,23283,44,2,1,7,1,3,9,2,3,,,,,,,,,,,,,,,,,,,2,,,,1,2,2,3,1,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,7,1,1,3,3,2,2,2,2,2,2,3,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,2,2,2,2,1,1,8,1,1,,,45,1,1,13171,6586,32284.168,2,2,,,,,,,90000,60399.504,0,0,0,0,0,0,0,0,,,,,,,,100000,110000,0,5842.8193,7159.2764,,,1500,1600,6000,200,128367.6,188018.31,11.143822,3.9761782,2013,2
2217,2,1,2,1,2,2,2,2,2,2,2,1,2,23283,36,1,1,4,1,3,1,2,3,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,2,2,2,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,1,2,9,1,1,3,3,2,2,2,2,2,1,2,2,2,,1,1,12,,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,1,1,2,2,2,2,2,2,1,1,8,1,1,,,35,2,1,7780,3890,31258.188,2,2,2,2,1,2,2,2,0,60399.504,0,0,0,0,0,0,0,0,,,,,,,,,110000,0,5842.8193,7159.2764,1800,1700,,200,6000,500,144686.83,188018.31,11.143822,6.2594085,2013,3
1565,2,5,1,1,2,2,2,2,2,2,2,2,2,18480,42,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,2,2,3,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,8,1,1,3,3,2,2,2,2,2,2,3,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,1,2,2,2,2,1,7,1,1,,,39,2,1,7146,3573,27512.936,2,2,2,2,1,2,2,2,80000,60399.504,0,0,0,0,0,0,0,62200.512,,,,,,,,80000,90000,80000,5842.8193,700,1150,1150,,800,700,400,144686.83,188018.31,11.143822,6.2594085,2013,1
1580,1,2,0,1,2,1,2,2,2,2,2,2,2,11945,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,99,2,,99,2,3,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,7,1,1,3,3,2,2,2,1,2,2,2,1,1,9,,,,99,,99,,,,2,2,2,2,2,2,2,2,2,1,,,,,,,99,,,,,,,99,2,2,1,2,2,2,2,1,8,1,1,,2,36,2,2,1372,1372,14487.016,2,3,,,,,,,27801.977,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1200,1596.5328,,,,,,1200,73210.672,81099.992,6.7894511,5.0535374,2012,12
1853,2,2,4,1,2,2,2,2,1,2,2,1,1,30678,28,1,1,7,2,3,5,1,3,1,2,3,1,1,3,,,,,,,,,,,,,1,1,1,2,,4,3,4,2,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,3,9,1,1,2,3,2,2,2,2,2,2,2,2,1,10,1,1,12,1,,,1,,,2,2,2,2,1,1,2,1,2,2,,,,,1,,,1,,,1,98,98,1,2,2,2,2,2,2,1,1,5,1,2,1,,31,2,1,7802,3901,38231.461,2,3,2,2,2,2,2,2,12000,12000,0,0,0,0,3600,0,0,0,,,5400,,,,,12000,12000,0,1951.3145,40,1800,1000,,,40,40,40617.699,24000,.78231961,1.0624156,2013,1
2270,1,4,1,0,2,2,2,2,2,2,2,5,2,15825,9,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,1,1,2,2,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,1,7,1,1,3,3,1,2,2,1,1,1,2,1,1,12,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,1,2,2,2,2,2,1,1,2,1,1,,1,34,1,2,5405,5405,21860.984,1,2,,,,,,,20000,0,0,0,0,0,0,0,0,0,,,,,,,,20000,,0,5842.8193,150,1300,1300,,250,150,250,14809.7,20000,1.263823,.67744893,2013,1
1488,2,2,3,1,2,2,2,2,2,2,2,1,2,27400,37,1,1,4,2,3,2,2,3,1,2,3,,,,,,,,,,,,,,,,1,1,1,2,,3,3,3,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,7,1,1,3,3,2,2,2,2,2,2,3,1,1,12,2,1,6,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,5,1,2,2,2,2,2,2,1,1,8,1,1,,1,36,2,1,924,462,34819.824,2,2,1,2,2,2,2,1,72000,9000,0,0,0,0,0,0,0,0,,,,,,,,72000,9000,0,5842.8193,7159.2764,1650,1650,,5000,6000,500,53969,81000,2.9562044,1.5499504,2013,2
