"","age3","sex2","race3","educat4","povgap4","pov2","svefreq2","foodindsev","qweight_pu","x1_sampcts","x1_popcts","wts","sampled_x1_label","abcat","dfcat","cdcat","bccat","nj","J_cell","grp1id","grp2id","grp3id","grp4id","grp5id","grp6id","grp7id"
"1","1","2","3","4","4","2","1","0",3542,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"2","2","2","3","4","3","2","1","0",5804,17,20238,1190.47058823529,174,"2","1","12","3",15,290,0,0,0,0,0,0,0
"3","1","2","3","2","1","1","2","0",1324,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"4","2","1","1","4","4","2","1","0",6586,29,98721,3404.1724137931,103,"1","1","4","1",27,169,0,0,0,0,0,0,0
"5","1","2","1","4","4","2","1","0",3890,27,97535,3612.40740740741,58,"1","1","4","1",24,95,0,0,0,0,0,0,0
"6","2","2","2","4","4","2","1","0",3573,18,22583,1254.61111111111,160,"2","1","8","2",13,264,0,0,0,0,0,0,0
"7","2","2","2","4","3","2","1","0",1372,15,20773,1384.86666666667,159,"2","1","8","2",14,262,0,0,0,0,0,0,0
"8","1","2","1","3","1","1","1","0",3901,7,50165,7166.42857142857,51,"1","1","3","1",6,83,0,0,1,0,0,0,0
"9","1","1","3","1","1","2","1","0",5405,6,201339,33556.5,28,"1","1","9","1",1,45,0,0,1,0,0,0,0
"10","2","2","1","4","3","2","1","0",462,27,42118,1559.92592592593,143,"2","1","4","1",26,235,0,0,0,0,0,0,0
"11","1","2","3","4","3","2","1","0",3691,17,34559,2032.88235294118,88,"1","1","12","3",13,151,0,0,0,0,0,0,0
"12","2","1","3","4","4","2","1","0",1316,14,26167,1869.07142857143,130,"1","1","12","1",14,215,0,0,0,0,0,0,0
"13","1","1","3","4","4","2","1","0",1243,12,34000,2833.33333333333,43,"1","1","12","1",9,71,0,0,0,0,0,0,0
"14","2","2","2","4","4","2","1","0",1922,18,22583,1254.61111111111,160,"2","1","8","2",13,264,0,0,0,0,0,0,0
